typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1267968","false","-1","N/A","0","false","1267968","false","0","false","118165201","0","118165201","0","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","475523","false","-1","N/A","0","false","475523","false","0","false","44153389","0","44153389","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50110","false","-1","N/A","0","false","50110","false","0","false","3382240","0","3382240","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5138531.637","false","-1","N/A","0","false","5138531.637","false","0","false","70149467","0","70149467","0","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5119727.5","false","-1","N/A","0","false","5119727.5","false","0","false","46735628","0","46735628","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","384.413","false","-1","N/A","0","false","384.413","false","0","false","421160","0","421160","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","67685.953","false","-1","N/A","0","false","67685.953","false","0","false","11713264","0","11713264","0","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14854.525","false","-1","N/A","0","false","14854.525","false","0","false","1793504","0","1793504","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1991.143","false","-1","N/A","0","false","1991.143","false","0","false","1038110","0","1038110","0","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1800543","false","-1","N/A","0","false","1800543","false","0","false","654024874","0","654024874","0","false","true",
