Sensitivity_Label,Scenario,Drug,Drug_ID,HS_Dependency,Mean_Capacity_Loss_pct,Median_Capacity_Loss_pct,P5_Loss_pct,P95_Loss_pct,Prob_Severe_Shortage_pct
S1_band_lower,Baseline (No Shock),Amoxicillin,AMOX,294110,0.0,0.0,0.0,0.0,0.0
S1_band_lower,Baseline (No Shock),Amoxicillin/clavulanate (Augmentin),AMOX_CLAV,"294110, 294190",0.0,0.0,0.0,0.0,0.0
S1_band_lower,Baseline (No Shock),Azithromycin,AZI,294150,0.0,0.0,0.0,0.0,0.0
S1_band_lower,Baseline (No Shock),Doxycycline,DOXY,294130,0.0,0.0,0.0,0.0,0.0
S1_band_lower,A: Direct Ban (CN+IN),Amoxicillin,AMOX,294110,46.23,46.23,46.23,46.23,100.0
S1_band_lower,A: Direct Ban (CN+IN),Amoxicillin/clavulanate (Augmentin),AMOX_CLAV,"294110, 294190",60.22,60.22,60.22,60.22,100.0
S1_band_lower,A: Direct Ban (CN+IN),Azithromycin,AZI,294150,70.86,70.86,70.86,70.86,100.0
S1_band_lower,A: Direct Ban (CN+IN),Doxycycline,DOXY,294130,75.9,75.9,75.9,75.9,100.0
S1_band_lower,B: Cascading Upstream Shock,Amoxicillin,AMOX,294110,82.44,82.44,82.44,82.44,100.0
S1_band_lower,B: Cascading Upstream Shock,Amoxicillin/clavulanate (Augmentin),AMOX_CLAV,"294110, 294190",93.24,93.24,93.24,93.24,100.0
S1_band_lower,B: Cascading Upstream Shock,Azithromycin,AZI,294150,74.32,74.32,74.32,74.32,100.0
S1_band_lower,B: Cascading Upstream Shock,Doxycycline,DOXY,294130,91.41,91.41,91.41,91.41,100.0
S1_band_lower,C: Logistics Chokepoint,Amoxicillin,AMOX,294110,22.65,19.97,8.74,45.47,20.82
S1_band_lower,C: Logistics Chokepoint,Amoxicillin/clavulanate (Augmentin),AMOX_CLAV,"294110, 294190",38.71,35.96,16.72,70.27,65.72
S1_band_lower,C: Logistics Chokepoint,Azithromycin,AZI,294150,22.65,19.97,8.74,45.47,20.82
S1_band_lower,C: Logistics Chokepoint,Doxycycline,DOXY,294130,22.65,19.97,8.74,45.47,20.82
